"구분(1)",구분(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구분(1)",구분(2),지점수 (개),시료수 (개),카드뮴 Cd (mg/kg),구리 Cu (mg/kg),비소 As (mg/kg),수은 Hg (mg/kg),납 Pb (mg/kg),6가크롬 Cr6+ (mg/kg),아연 Zn (mg/kg),니켈 Ni (mg/kg),불소 F (mg/kg),유기인 (mg/kg),폴리클로리네이티드비페닐 PCB (mg/kg),시안 CN (mg/kg),페놀류 (mg/kg),유류 (mg/kg),유류 (mg/kg),유류 (mg/kg),유류 (mg/kg),유류 (mg/kg),유류 (mg/kg),트리클로로에틸렌 TCE (mg/kg),테트라클로로에틸렌 PCE (mg/kg),벤조(a)피렌 (mg/kg),12-디클로로에탄 12-DCA (mg/kg),수소이온농도 pH (pH)
"구분(1)",구분(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,벤젠 톨루엔 에틸벤젠 크실렌 BTEX,벤젠,톨루엔,에틸벤젠,크실렌,석유계총탄화수소 TPH,소계,소계,소계,소계,소계
"울산광역시",평균,65,79,0.2534177215,33.7291139241,6.1548101266,0.1410126582,48.9772151899,0.1025316456,162.5101265823,14.3481012658,318.8846153846,0,0,0.0050632911,0,0,0,0,0,45.0888888889,0,0,-,0,-,6.7075949367
"세종특별자치시",최대,15,15,4.5,99.8,0,0.08,52.8,0,537.7,49.4,458,-,-,0.4,0,0,0,0,0,204,0,0,-,-,-,9.4
"세종특별자치시",최소,15,15,1.6,3.8,0,0,10.5,0,52.7,5.3,226,-,-,0,0,0,0,0,0,0,0,0,-,-,-,5.4
"세종특별자치시",평균,15,15,2.7266666667,23.5933333333,0,0.0093333333,17.8333333333,0,150.8133333333,20.3133333333,350.4,-,-,0.0733333333,0,0,0,0,0,60.5714285714,0,0,-,-,-,7.4933333333
"경기도",최대,298,540,3.45,757.9,61.89,1.17,356.9,3.6,1530.7,97,846,0,-,0,0.16,0,0.5,0.6,1.7,1147,0,0,0,0,4.372,10.3
"경기도",최소,298,540,0,0,0,0,3.6,0,9.4,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,5.2
"경기도",평균,298,540,0.1214058957,24.7732426304,4.0106575964,0.01430839,25.1058956916,0.0446712018,81.9952380952,16.9977324263,242.5985915493,0,-,0,0.0111764706,0,0.0071232877,0.0076712329,0.0345205479,28.0599455041,0,0,0,0,0.8885714286,8.0911111111
"강원특별자치도",최대,192,192,5.9,1544.8,26.35,0.19,220.1,1.4,1819.9,168.8,819,0,0,0,1.43,0.6,0.2,0.4,0.8,1242,0.1,0,0.042,1,0,9.8
"강원특별자치도",최소,192,192,0,0,0,0,2.5,0,13.3,1.6,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2
"강원특별자치도",평균,192,192,1.1745833333,27.0848958333,4.7715104167,0.02921875,17.7427083333,0.0109947644,105.4609375,13.3166666667,321.03125,0,0,0,0.0516,0.0078947368,0.0315789474,0.0266666667,0.0173333333,100.0740740741,0.0058823529,0,0.0086666667,0.1677419355,0,7.6109375
"충청북도",최대,134,153,3.13,79,25.05,1.25,257.9,2.8,529.4,64.5,736,0,0,0,0.34,0.3,0.1,0,0,213,0,0,0.007,0,0,9.7
"충청북도",최소,134,153,0,0,0,0,6.5,0,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4
"충청북도",평균,134,153,0.3986928105,15.6098039216,3.5949019608,0.0281699346,24.6882352941,0.1843137255,97.9620915033,10.6888888889,331.4303797468,0,0,0,0.0095588235,0.0044117647,0.0014705882,0,0,12.6111111111,0,0,0.001173913,0,0,6.5169934641
"충청남도",최대,230,230,2.98,135.2,110.92,0.4,327.6,7.7,765.3,113,591,0,0,0.2,0,0,0,0,0,116,0,0,0,0,0,9.6
"충청남도",최소,230,230,0.33,0,0,0,4.9,0,17,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
"충청남도",평균,230,230,1.005840708,23.7864035088,2.9132211538,0.0332057416,24.8088105727,1.3022123894,108.2771929825,20.1784753363,232.8,0,0,0.0045454545,0,0,0,0,0,2.7540983607,0,0,0,0,0,7.2060869565
"전북특별자치도",최대,154,154,3.89,116.1,45.92,0.16,80.7,1.1,889.9,29.9,599,0,0,0,0,0,0,0,0,3378,0,0,-,0,-,9.7
"전북특별자치도",최소,154,154,0.56,0,1.52,0,4.7,0,19.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,4.8
