"강원특별자치도",철원,0.36,0.29,0.24,0.19,0.16,0.16,0.17,0.22,0.2,0.22
"강원특별자치도",홍천,0.4,0.29,0.26,0.25,0.21,0.22,0.2,0.23,0.27,0.29
"강원특별자치도",화천,0.52,0.39,0.34,0.3,0.28,0.3,0.33,0.32,0.29,0.25
"강원특별자치도",태백,0.52,0.51,0.43,0.41,0.33,0.27,0.22,0.23,0.28,0.44
"강원특별자치도",인제,0.36,0.31,0.31,0.28,0.26,0.29,0.3,0.3,0.25,0.22
"강원특별자치도",도평균,0.47,0.39,0.37,0.33,0.28,0.3,0.26,0.26,0.26,0.28
"충청북도",괴산,0.44,0.4,0.37,0.35,0.29,0.27,0.24,0.31,0.28,0.32
"충청북도",음성,0.4,0.4,0.37,0.41,0.36,0.4,0.35,0.35,0.33,0.3
"충청북도",청주,0.57,0.49,0.44,0.4,0.35,0.35,0.3,0.34,0.33,0.35
"충청북도",충주,0.58,0.69,0.53,0.46,0.4,0.46,0.37,0.38,0.39,0.37
"충청북도",제천,0.68,0.63,0.5,0.47,0.42,0.44,0.34,0.34,0.38,0.45
"충청북도",단양,0.76,0.6,0.52,0.52,0.43,0.42,0.35,0.4,0.38,0.49
"충청북도",진천,0.48,0.44,0.38,0.35,0.28,0.29**,0.24,0.30*,0.29,0.36
"충청북도",옥천,0.45,0.38,0.36,0.41,0.38,0.4,0.39,0.38,0.36,0.42
"충청북도",영동,0.51,0.37,0.4,0.32,0.27,0.33,0.3,0.32,0.24,0.28
"충청북도",증평,0.51,0.36,0.33,0.33,0.26,0.3,0.22,0.24,0.21,0.26
"충청북도",보은,0.47,0.43,0.4,0.39,0.35,0.33,0.29,0.32,0.31,0.32
"충청북도",도평균,0.56,0.5,0.44,0.41,0.35,0.37,0.31,0.34,0.32,0.36
"충청남도",천안,0.48,0.43,0.37,0.37,0.36,0.38,0.35,0.38,0.33,0.38
"충청남도",당진,0.54,0.43,0.42,0.43,0.35,0.37,0.32,0.4,0.35,0.37
"충청남도",서산,0.48,0.46,0.37,0.39,0.33,0.38,0.36,0.44,0.42,0.4
"충청남도",아산,0.46,0.42,0.37,0.39,0.33,0.34,0.29,0.35,0.32,0.36
